"","ID","Pathway_Size","CoExp_Pairs","pvalue","padj","Description"
"1","hsa00190",89,735,0,0,"Oxidative phosphorylation"
"2","hsa03010",130,3182,0,0,"Ribosome"
"3","hsa04714",158,1206,0,0,"Thermogenesis"
"4","hsa05010",288,2785,0,0,"Alzheimer disease"
"5","hsa05012",201,2020,0,0,"Parkinson disease"
"6","hsa05014",270,2609,0,0,"Amyotrophic lateral sclerosis"
"7","hsa05016",221,2595,0,0,"Huntington disease"
"8","hsa05020",200,1627,0,0,"Prion disease"
"9","hsa05022",360,3774,0,0,"Pathways of neurodegeneration - multiple diseases"
"10","hsa05171",176,2139,0,0,"Coronavirus disease - COVID-19"
"11","hsa05322",90,765,0,0,"Systemic lupus erythematosus"
"12","hsa04820",186,1424,1.07632200946516e-319,3.24690555199596e-318,"Cytoskeleton in muscle cells"
"13","hsa04514",121,829,2.02947143714229e-278,5.6512973865039e-277,"Cell adhesion molecule (CAM) interaction"
"14","hsa04613",120,810,3.6083892051889e-270,9.33026351627416e-269,"Neutrophil extracellular trap formation"
"15","hsa03040",134,898,1.8006797821999e-261,4.34564054104243e-260,"Spliceosome"
"16","hsa04110",125,830,1.32781232500228e-259,3.00417538531765e-258,"Cell cycle"
"17","hsa05208",154,1018,2.25621294405869e-243,4.80440638676026e-242,"Chemical carcinogenesis - reactive oxygen species"
"18","hsa04640",77,490,4.60908605564573e-238,9.26938417857642e-237,"Hematopoietic cell lineage"
"19","hsa05415",135,867,1.39531114642555e-237,2.65843492108446e-236,"Diabetic cardiomyopathy"
"20","hsa05150",69,418,4.37053081112834e-214,7.91066076814229e-213,"Staphylococcus aureus infection"
"21","hsa04518",113,663,1.17320864234697e-202,2.02238823109335e-201,"Integrin signaling"
"22","hsa04517",234,1595,1.78736332889296e-197,2.94102511390569e-196,"IgSF CAM signaling"
"23","hsa04145",113,604,2.65818648969168e-165,4.18375438812343e-164,"Phagosome"
"24","hsa05034",125,675,7.46667037261911e-164,1.12622278120338e-162,"Alcoholism"
"25","hsa05323",75,389,7.90362938964144e-162,1.14444553562008e-160,"Rheumatoid arthritis"
"26","hsa04932",107,560,6.17545154948141e-160,8.59812869581643e-159,"Non-alcoholic fatty liver disease"
"27","hsa04062",146,782,4.9964772461539e-149,6.69898060410264e-148,"Chemokine signaling pathway"
"28","hsa04510",151,811,6.21301820669912e-147,8.03254496723244e-146,"Focal adhesion"
"29","hsa04120",106,505,5.78619218182613e-130,7.22276403386572e-129,"Ubiquitin mediated proteolysis"
"30","hsa04061",77,355,2.30082162857085e-128,2.77632476514216e-127,"Viral protein interaction with cytokine and cytokine receptor"
"31","hsa05165",244,1458,4.10605577364837e-120,4.79481351632487e-119,"Human papillomavirus infection"
"32","hsa05140",50,224,4.2372026714373e-118,4.79333552206345e-117,"Leishmaniasis"
"33","hsa04151",256,1537,3.51432430283073e-112,3.85510726552947e-111,"PI3K-Akt signaling pathway"
"34","hsa04810",170,853,6.85668841541764e-110,7.30035648935643e-109,"Regulation of actin cytoskeleton"
"35","hsa04512",67,282,1.14139235151427e-107,1.18052580356619e-106,"ECM-receptor interaction"
"36","hsa05168",125,567,5.60550417221236e-107,5.63664586205799e-106,"Herpes simplex virus 1 infection"
"37","hsa04380",94,404,7.20936590864495e-107,7.05348772683641e-106,"Osteoclast differentiation"
"38","hsa05152",121,540,1.14475428263258e-104,1.09052907977104e-103,"Tuberculosis"
"39","hsa04140",127,560,2.39445583550223e-98,2.22254618577387e-97,"Autophagy - animal"
"40","hsa05205",151,697,8.82009086835621e-97,7.98218223586237e-96,"Proteoglycans in cancer"
"41","hsa04060",213,1123,8.28803726283153e-96,7.3177304613293e-95,"Cytokine-cytokine receptor interaction"
"42","hsa05330",25,108,1.46660302853636e-91,1.26407213411943e-90,"Allograft rejection"
"43","hsa05332",27,113,1.97616850800966e-89,1.66365813930116e-88,"Graft-versus-host disease"
"44","hsa05166",169,775,1.3597349550107e-83,1.11869103116789e-82,"Human T-cell leukemia virus 1 infection"
"45","hsa05320",28,108,2.31966296734976e-79,1.86603998706803e-78,"Autoimmune thyroid disease"
"46","hsa04940",30,113,6.13758250642578e-78,4.83001058114377e-77,"Type I diabetes mellitus"
"47","hsa05017",108,409,9.85916607884401e-74,7.59365557562028e-73,"Spinocerebellar ataxia"
"48","hsa05163",164,714,1.96614418469477e-73,1.4828004059573e-72,"Human cytomegalovirus infection"
"49","hsa04662",62,213,5.21415846565902e-72,3.85209258075217e-71,"B cell receptor signaling pathway"
"50","hsa03050",36,125,4.49498461113126e-71,3.23643306457938e-70,"Proteasome"
"51","hsa05170",154,647,4.55961564346819e-71,3.23643306457938e-70,"Human immunodeficiency virus 1 infection"
"52","hsa04612",52,174,4.60594952049599e-69,3.20644947388375e-68,"Antigen processing and presentation"
"53","hsa05144",33,113,3.97280770893475e-68,2.71350262383845e-67,"Malaria"
"54","hsa04658",64,214,8.77346129792299e-68,5.88146849971875e-67,"Th1 and Th2 cell differentiation"
"55","hsa04141",122,464,9.00329131978153e-68,5.92580265047439e-67,"Protein processing in endoplasmic reticulum"
"56","hsa05167",149,608,1.63808636616688e-67,1.05890582955787e-66,"Kaposi sarcoma-associated herpesvirus infection"
"57","hsa04015",153,628,1.74182522917267e-66,1.10621181221142e-65,"Rap1 signaling pathway"
"58","hsa03008",70,233,7.17680184478634e-66,4.47931425484941e-65,"Ribosome biogenesis in eukaryotes"
"59","hsa05321",46,148,6.11085360069042e-64,3.74937119228802e-63,"Inflammatory bowel disease"
"60","hsa04620",65,211,1.72045914709549e-63,1.03801035208094e-62,"Toll-like receptor signaling pathway"
"61","hsa05135",102,359,2.48013373937777e-63,1.47181707156517e-62,"Yersinia infection"
"62","hsa03013",84,282,6.02132140628113e-63,3.5156747565706e-62,"Nucleocytoplasmic transport"
"63","hsa04659",81,270,6.62923261709903e-63,3.80917810696801e-62,"Th17 cell differentiation"
"64","hsa04150",121,443,3.07241182495023e-61,1.73783293848748e-60,"mTOR signaling pathway"
"65","hsa04672",36,114,1.53564248008029e-60,8.55234735060099e-60,"Intestinal immune network for IgA production"
"66","hsa05169",145,558,6.64537335510327e-58,3.64488659779906e-57,"Epstein-Barr virus infection"
"67","hsa04611",93,307,4.40882100829722e-57,2.38207941045312e-56,"Platelet activation"
"68","hsa05203",143,538,8.54270448833203e-55,4.54773385996499e-54,"Viral carcinogenesis"
"69","hsa04660",89,284,7.65776140837287e-54,4.01755018816084e-53,"T cell receptor signaling pathway"
"70","hsa03030",33,98,2.41950187460796e-53,1.25122811229726e-52,"DNA replication"
"71","hsa04022",125,440,1.3227791767903e-52,6.74431073236746e-52,"cGMP-PKG signaling pathway"
"72","hsa03420",49,142,2.89844373662383e-52,1.45727310091365e-51,"Nucleotide excision repair"
"73","hsa03250",47,136,3.1901440143779e-52,1.58196182630794e-51,"Viral life cycle - HIV-1"
"74","hsa04144",180,742,7.89591090464274e-52,3.86259425335226e-51,"Endocytosis"
"75","hsa04974",79,235,1.79550742776413e-48,8.66631585134152e-48,"Protein digestion and absorption"
"76","hsa01200",86,257,1.47928934615712e-46,7.0460887277484e-46,"Carbon metabolism"
"77","hsa05145",76,220,2.60031351230281e-46,1.22248505383587e-45,"Toxoplasmosis"
"78","hsa04610",74,212,8.60007792117992e-46,3.99131821470145e-45,"Complement and coagulation cascades"
"79","hsa04137",77,222,1.54892587950537e-45,7.09760972634106e-45,"Mitophagy - animal"
"80","hsa04914",76,216,2.760120793679e-44,1.24895465913975e-43,"Progesterone-mediated oocyte maturation"
"81","hsa04064",83,238,6.99519396223286e-43,3.12624717818308e-42,"NF-kappa B signaling pathway"
"82","hsa01100",1162,18781,9.35425095375884e-41,4.1295595673911e-40,"Metabolic pathways"
"83","hsa04142",102,306,9.74380838979748e-41,4.24970920133336e-40,"Lysosome"
"84","hsa05416",50,125,1.23706136072574e-38,5.33114538788949e-38,"Viral myocarditis"
"85","hsa04114",94,269,1.45980113376629e-38,6.21703541674585e-38,"Oocyte meiosis"
"86","hsa05132",186,722,1.41530439964319e-37,5.95744410082367e-37,"Salmonella infection"
"87","hsa04014",189,735,2.34659385551061e-36,9.76398822637746e-36,"Ras signaling pathway"
"88","hsa04218",121,372,1.43641659294432e-35,5.90889553006641e-35,"Cellular senescence"
"89","hsa04650",84,224,4.58382332784315e-35,1.86443151087553e-34,"Natural killer cell mediated cytotoxicity"
"90","hsa03020",31,72,2.66212823761492e-34,1.070767135574e-33,"RNA polymerase"
"91","hsa04910",93,251,6.08604392680878e-33,2.42104165000525e-32,"Insulin signaling pathway"
"92","hsa05310",18,43,2.71082179205846e-32,1.06664944426648e-31,"Asthma"
"93","hsa04670",81,207,3.23954777420503e-32,1.26098526264755e-31,"Leukocyte transendothelial migration"
"94","hsa05417",155,524,3.35030312104168e-32,1.29022311682669e-31,"Lipid and atherosclerosis"
"95","hsa05164",112,323,3.50801070599131e-32,1.33673671112511e-31,"Influenza A"
"96","hsa04270",106,294,1.32234510329323e-30,4.9863429936682e-30,"Vascular smooth muscle contraction"
"97","hsa04371",111,311,1.2518547461562e-29,4.6718702897788e-29,"Apelin signaling pathway"
"98","hsa05340",26,56,1.70943441511552e-29,6.31444141093691e-29,"Primary immunodeficiency"
"99","hsa05200",405,2585,5.16973566616067e-29,1.89034778904057e-28,"Pathways in cancer"
"100","hsa00510",42,89,1.99807337575401e-28,7.23302562022951e-28,"N-Glycan biosynthesis"
"101","hsa05160",107,290,5.22575002040509e-28,1.87299159147192e-27,"Hepatitis C"
"102","hsa03082",78,184,9.59115439672239e-27,3.40391950158187e-26,"ATP-dependent chromatin remodeling"
"103","hsa04010",217,860,7.44421164901645e-26,2.61631516208151e-25,"MAPK signaling pathway"
"104","hsa05161",106,279,9.29971841838346e-26,3.23701737255271e-25,"Hepatitis B"
"105","hsa01521",56,118,2.03368735185454e-25,7.01137925115564e-25,"EGFR tyrosine kinase inhibitor resistance"
"106","hsa01230",55,114,1.10626505420969e-24,3.74269111798044e-24,"Biosynthesis of amino acids"
"107","hsa03018",55,114,1.10626505420969e-24,3.74269111798044e-24,"RNA degradation"
"108","hsa04723",105,270,3.72460355001926e-24,1.24843193065461e-23,"Retrograde endocannabinoid signaling"
"109","hsa04933",76,169,3.04300971879659e-23,1.01061423688474e-22,"AGE-RAGE signaling pathway in diabetic complications"
"110","hsa03410",33,61,1.83601387668303e-22,6.04215475781142e-22,"Base excision repair"
"111","hsa05142",73,158,2.02336790203442e-22,6.59873135618431e-22,"Chagas disease"
"112","hsa04068",98,233,1.21263140851237e-20,3.91939794537033e-20,"FoxO signaling pathway"
"113","hsa05418",104,253,3.1074893976269e-20,9.95496603487556e-20,"Fluid shear stress and atherosclerosis"
"114","hsa05224",118,306,3.85253001092566e-20,1.22334724908341e-19,"Breast cancer"
"115","hsa04550",107,262,1.12234378951949e-19,3.53294305918308e-19,"Signaling pathways regulating pluripotency of stem cells"
"116","hsa05133",58,111,1.17592585456131e-19,3.66969964957927e-19,"Pertussis"
"117","hsa04530",128,345,1.21953960575406e-19,3.77327638703394e-19,"Tight junction"
"118","hsa03440",33,56,5.00710435476948e-19,1.53607777663267e-18,"Homologous recombination"
"119","hsa04211",56,104,1.0768771006749e-18,3.27587823902786e-18,"Longevity regulating pathway"
"120","hsa05131",177,575,2.20860533488539e-18,6.66262609357091e-18,"Shigellosis"
"121","hsa03460",40,68,3.56063786794388e-18,1.06524868445924e-17,"Fanconi anemia pathway"
"122","hsa05211",46,80,5.26935878133378e-18,1.56353104823183e-17,"Renal cell carcinoma"
"123","hsa04540",66,127,7.49836761793933e-18,2.20683664853174e-17,"Gap junction"
"124","hsa04623",50,88,1.12979545581104e-17,3.29827383067418e-17,"Cytosolic DNA-sensing pathway"
"125","hsa04625",69,134,1.7036647863831e-17,4.93381322136546e-17,"C-type lectin receptor signaling pathway"
"126","hsa04217",100,229,1.74449934433677e-17,5.01197430674533e-17,"Necroptosis"
"127","hsa04622",36,59,2.10851132159882e-17,6.01008738912419e-17,"RIG-I-like receptor signaling pathway"
"128","hsa05213",44,74,4.68115706511944e-17,1.32388973247909e-16,"Endometrial cancer"
"129","hsa01522",71,137,1.25328074649533e-16,3.51695837388612e-16,"Endocrine resistance"
"130","hsa04722",90,192,2.19164632655518e-16,6.10289207856134e-16,"Neurotrophin signaling pathway"
"131","hsa05221",52,88,1.21922966824418e-15,3.36916900690376e-15,"Acute myeloid leukemia"
"132","hsa05235",64,116,1.35986922620463e-15,3.72933833247027e-15,"PD-L1 expression and PD-1 checkpoint pathway in cancer"
"133","hsa05220",55,94,2.40045105490005e-15,6.53355851032947e-15,"Chronic myeloid leukemia"
"134","hsa04668",81,160,5.54786161014487e-15,1.49875067378541e-14,"TNF signaling pathway"
"135","hsa04340",41,64,6.25007870095799e-15,1.67594702944207e-14,"Hedgehog signaling pathway"
"136","hsa05223",56,95,8.0316683464373e-15,2.13784113338993e-14,"Non-small cell lung cancer"
"137","hsa04071",88,179,1.91504394238196e-14,5.06018910322825e-14,"Sphingolipid signaling pathway"
"138","hsa05414",75,141,2.57492986417445e-14,6.75452616544311e-14,"Dilated cardiomyopathy"
"139","hsa05210",68,122,3.96196161130395e-14,1.0318202181957e-13,"Colorectal cancer"
"140","hsa05214",62,107,4.67799856947238e-14,1.20959677296357e-13,"Glioma"
"141","hsa04072",111,253,8.95360603409653e-14,2.29872722293826e-13,"Phospholipase D signaling pathway"
"142","hsa00020",24,33,2.60163262419108e-13,6.63233105603641e-13,"Citrate cycle (TCA cycle)"
"143","hsa05218",57,93,3.88603650519324e-13,9.83737912503463e-13,"Melanoma"
"144","hsa04360",141,369,4.18516693972993e-13,1.05210446679322e-12,"Axon guidance"
"145","hsa04657",78,143,1.9727487805669e-12,4.92506936941529e-12,"IL-17 signaling pathway"
"146","hsa04012",60,97,4.03772860416439e-12,1.0011354484298e-11,"ErbB signaling pathway"
"147","hsa05225",130,317,4.9960595719231e-12,1.23032215308582e-11,"Hepatocellular carcinoma"
"148","hsa04926",90,174,1.61101371907878e-11,3.94045247504403e-11,"Relaxin signaling pathway"
"149","hsa04666",79,142,2.23148764501832e-11,5.42146662749416e-11,"Fc gamma R-mediated phagocytosis"
"150","hsa05215",83,153,2.33697780519059e-11,5.63990643652662e-11,"Prostate cancer"
"151","hsa04725",84,154,6.95730351087231e-11,1.66790984830184e-10,"Cholinergic synapse"
"152","hsa05412",63,100,8.18435534696953e-11,1.94916883921248e-10,"Arrhythmogenic right ventricular cardiomyopathy"
"153","hsa05162",94,183,9.14488277298975e-11,2.1636912181845e-10,"Measles"
"154","hsa05202",138,341,1.67393640264631e-10,3.93483751790885e-10,"Transcriptional misregulation in cancer"
"155","hsa00532",15,18,1.72141583015476e-10,4.02033890655499e-10,"Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate"
"156","hsa05410",69,113,1.89256060826270e-10,4.39171115507113e-10,"Hypertrophic cardiomyopathy"
"157","hsa04136",25,30,2.64337722186602e-10,6.09492072812419e-10,"Autophagy - other"
"158","hsa04917",49,69,2.73080169731193e-10,6.25664692675265e-10,"Prolactin signaling pathway"
"159","hsa04210",107,222,3.865250931106e-10,8.80013105069417e-10,"Apoptosis"
"160","hsa00513",35,44,4.9621505735902e-10,1.12268656727478e-09,"Various types of N-glycan biosynthesis"
"161","hsa04921",115,248,8.41055292859035e-10,1.89106842245323e-09,"Oxytocin signaling pathway"
"162","hsa05230",53,75,1.30571522693423e-09,2.91770933426043e-09,"Central carbon metabolism in cancer"
"163","hsa04070",71,114,2.39918872312246e-09,5.30008994757183e-09,"Phosphatidylinositol signaling system"
"164","hsa05130",150,385,2.40114572210436e-09,5.30008994757183e-09,"Pathogenic Escherichia coli infection"
"165","hsa05146",73,118,4.21783804786634e-09,9.25368105047039e-09,"Amoebiasis"
"166","hsa04730",42,53,5.97998284618471e-09,1.30406854838486e-08,"Long-term depression"
"167","hsa04740",84,146,6.28335513925166e-09,1.36202069485575e-08,"Olfactory transduction"
"168","hsa04148",122,268,7.5288432595751e-09,1.62228646426559e-08,"Efferocytosis"
"169","hsa04152",81,135,2.99738731520199e-08,6.42043910120189e-08,"AMPK signaling pathway"
"170","hsa04621",121,260,3.85406907982925e-08,8.20690004057758e-08,"NOD-like receptor signaling pathway"
"171","hsa04935",73,114,4.50874348746179e-08,9.54482539450976e-08,"Growth hormone synthesis, secretion and action"
"172","hsa04390",116,241,5.88635973069477e-08,1.23887338518111e-07,"Hippo signaling pathway"
"173","hsa04720",53,70,6.45374416156789e-08,1.35043663958819e-07,"Long-term potentiation"
